"","Date","MSL (ft)","MTL (ft)","Station"
"1",2010-01-01,1.732,1.718,"Beaufort"
"2",2010-02-01,1.814,1.788,"Beaufort"
"3",2010-03-01,2.018,2.008,"Beaufort"
"4",2010-04-01,1.657,1.663,"Beaufort"
"5",2010-05-01,1.624,1.617,"Beaufort"
"6",2010-06-01,1.739,1.732,"Beaufort"
"7",2010-07-01,1.716,1.711,"Beaufort"
"8",2010-08-01,2.06,2.062,"Beaufort"
"9",2010-09-01,2.287,2.274,"Beaufort"
"10",2010-10-01,2.218,2.219,"Beaufort"
"11",2010-11-01,2.041,2.044,"Beaufort"
"12",2010-12-01,1.722,1.718,"Beaufort"
"13",2011-01-01,1.493,1.491,"Beaufort"
"14",2011-02-01,1.463,1.444,"Beaufort"
"15",2011-03-01,1.736,1.731,"Beaufort"
"16",2011-04-01,1.526,1.519,"Beaufort"
"17",2011-05-01,1.909,1.916,"Beaufort"
"18",2011-06-01,1.923,1.921,"Beaufort"
"19",2011-07-01,2.005,1.995,"Beaufort"
"20",2011-08-01,2.277,2.272,"Beaufort"
"21",2011-09-01,2.316,2.326,"Beaufort"
"22",2011-10-01,2.215,2.213,"Beaufort"
"23",2011-11-01,1.942,1.942,"Beaufort"
"24",2011-12-01,1.68,1.68,"Beaufort"
"25",2012-01-01,1.486,1.496,"Beaufort"
"26",2012-02-01,1.627,1.619,"Beaufort"
"27",2012-03-01,1.552,1.539,"Beaufort"
"28",2012-04-01,2.024,2.013,"Beaufort"
"29",2012-05-01,1.982,1.977,"Beaufort"
"30",2012-06-01,2.349,2.341,"Beaufort"
"31",2012-07-01,2.021,2.031,"Beaufort"
"32",2012-08-01,2.231,2.229,"Beaufort"
"33",2012-09-01,2.129,2.139,"Beaufort"
"34",2012-10-01,2.247,2.246,"Beaufort"
"35",2012-11-01,2.336,2.333,"Beaufort"
"36",2012-12-01,1.955,1.942,"Beaufort"
"37",2013-01-01,1.657,1.645,"Beaufort"
"38",2013-02-01,1.66,1.657,"Beaufort"
"39",2013-03-01,1.913,1.895,"Beaufort"
"40",2013-04-01,1.663,1.665,"Beaufort"
"41",2013-05-01,1.919,1.919,"Beaufort"
"42",2013-06-01,1.772,1.76,"Beaufort"
"43",2013-07-01,1.831,1.831,"Beaufort"
"44",2013-08-01,2.093,2.09,"Beaufort"
"45",2013-09-01,2.185,2.188,"Beaufort"
"46",2013-10-01,2.467,2.467,"Beaufort"
"47",2013-11-01,1.87,1.859,"Beaufort"
"48",2013-12-01,1.778,1.768,"Beaufort"
"49",2014-01-01,1.765,1.763,"Beaufort"
"50",2014-02-01,1.768,1.762,"Beaufort"
"51",2014-03-01,1.864,1.868,"Beaufort"
"52",2014-04-01,2.057,2.052,"Beaufort"
"53",2014-05-01,2.064,2.073,"Beaufort"
"54",2014-06-01,2.041,2.034,"Beaufort"
"55",2014-07-01,2.103,2.09,"Beaufort"
"56",2014-08-01,2.388,2.395,"Beaufort"
"57",2014-09-01,2.631,2.648,"Beaufort"
"58",2014-10-01,2.395,2.395,"Beaufort"
"59",2014-11-01,2.116,2.11,"Beaufort"
"60",2014-12-01,2.005,1.991,"Beaufort"
"61",2015-01-01,1.841,1.803,"Beaufort"
"62",2015-02-01,1.785,1.79,"Beaufort"
"63",2015-03-01,1.604,1.58,"Beaufort"
"64",2015-04-01,1.683,1.677,"Beaufort"
"65",2015-05-01,1.834,1.826,"Beaufort"
"66",2015-06-01,1.89,1.88,"Beaufort"
"67",2015-07-01,2.142,2.137,"Beaufort"
"68",2015-08-01,2.182,2.183,"Beaufort"
"69",2015-09-01,2.402,2.397,"Beaufort"
"70",2015-10-01,2.74,2.738,"Beaufort"
"71",2015-11-01,2.287,2.28,"Beaufort"
"72",2015-12-01,2.096,2.077,"Beaufort"
"73",2016-01-01,2.087,2.085,"Beaufort"
"74",2016-02-01,1.919,1.926,"Beaufort"
"75",2016-03-01,1.801,1.786,"Beaufort"
"76",2016-04-01,2.044,2.036,"Beaufort"
"77",2016-05-01,2.169,2.162,"Beaufort"
"78",2016-06-01,2.408,2.405,"Beaufort"
"79",2016-07-01,2.06,2.052,"Beaufort"
"80",2016-08-01,2.119,2.115,"Beaufort"
"81",2016-09-01,2.438,2.444,"Beaufort"
"82",2016-10-01,2.772,2.782,"Beaufort"
"83",2016-11-01,2.326,2.318,"Beaufort"
"84",2016-12-01,1.988,1.998,"Beaufort"
"85",2017-01-01,1.749,1.752,"Beaufort"
"86",2017-02-01,1.683,1.665,"Beaufort"
"87",2017-03-01,1.539,1.512,"Beaufort"
"88",2017-04-01,2.106,2.118,"Beaufort"
"89",2017-05-01,2.083,2.077,"Beaufort"
"90",2017-06-01,2.024,2.014,"Beaufort"
"91",2017-07-01,2.021,2.016,"Beaufort"
"92",2017-08-01,2.293,2.302,"Beaufort"
"93",2017-09-01,2.72,2.726,"Beaufort"
"94",2017-10-01,2.379,2.375,"Beaufort"
"95",2017-11-01,2.231,2.231,"Beaufort"
"96",2017-12-01,1.801,1.808,"Beaufort"
"97",2018-01-01,1.421,1.409,"Beaufort"
"98",2018-02-01,1.585,1.585,"Beaufort"
"99",2018-03-01,2.293,2.279,"Beaufort"
"100",2018-04-01,1.814,1.801,"Beaufort"
"101",2018-05-01,1.837,1.852,"Beaufort"
"102",2018-06-01,2.1,2.106,"Beaufort"
"103",2018-07-01,2.149,2.142,"Beaufort"
"104",2018-08-01,2.136,2.133,"Beaufort"
"105",2018-09-01,2.717,2.725,"Beaufort"
"106",2018-10-01,2.421,2.411,"Beaufort"
"107",2018-11-01,2.421,2.428,"Beaufort"
"108",2018-12-01,2.201,2.195,"Beaufort"
"109",2019-01-01,1.942,1.955,"Beaufort"
"110",2019-02-01,1.998,2.003,"Beaufort"
