#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2010 08 19 20 18 254  2.4  3.4 99.00 99.00 99.00 999 1011.1  28.3  29.7 999.0 99.0 99.00
2010 08 19 20 24 268  2.8  3.8 99.00 99.00 99.00 999 1011.1  28.5  29.6 999.0 99.0 99.00
2010 08 19 20 30 264  2.9  3.8 99.00 99.00 99.00 999 1011.1  28.7  29.6 999.0 99.0 99.00
2010 08 19 20 36 257  2.9  3.8 99.00 99.00 99.00 999 1011.1  29.1  29.7 999.0 99.0 99.00
2010 08 19 20 42 250  2.7  3.7 99.00 99.00 99.00 999 1011.0  28.8  29.7 999.0 99.0 99.00
2010 08 19 20 48 254  3.1  4.1 99.00 99.00 99.00 999 1011.0  28.7  29.7 999.0 99.0 99.00
2010 08 19 20 54 259  3.5  4.2 99.00 99.00 99.00 999 1010.9  28.9  29.7 999.0 99.0 99.00
2010 08 19 21 00 258  3.4  4.4 99.00 99.00 99.00 999 1011.0  29.1  29.7 999.0 99.0 99.00
2010 08 19 21 06 256  3.8  4.5 99.00 99.00 99.00 999 1011.0  29.1  29.7 999.0 99.0 99.00
2010 08 19 21 12 253  3.8  5.0 99.00 99.00 99.00 999 1011.0  29.2  29.7 999.0 99.0 99.00
2010 08 19 21 18 250  3.6  4.9 99.00 99.00 99.00 999 1011.0  29.1  29.8 999.0 99.0 99.00
2010 08 19 21 24 252  4.2  5.4 99.00 99.00 99.00 999 1011.0  29.2  29.8 999.0 99.0 99.00
2010 08 19 21 30 253  4.3  5.7 99.00 99.00 99.00 999 1011.0  29.0  29.8 999.0 99.0 99.00
2010 08 19 21 36 258  4.4  5.4 99.00 99.00 99.00 999 1011.0  29.0  29.8 999.0 99.0 99.00
2010 08 19 21 42 259  4.1  5.1 99.00 99.00 99.00 999 1011.0  28.7  29.8 999.0 99.0 99.00
2010 08 19 21 48 259  3.9  5.3 99.00 99.00 99.00 999 1011.0  28.8  29.8 999.0 99.0 99.00
2010 08 19 21 54 255  3.7  4.8 99.00 99.00 99.00 999 1010.9  28.8  29.8 999.0 99.0 99.00
2010 08 19 22 00 245  3.0  4.9 99.00 99.00 99.00 999 1010.9  28.8  29.8 999.0 99.0 99.00
2010 08 19 22 06 235  3.4  4.7 99.00 99.00 99.00 999 1010.8  28.7  29.9 999.0 99.0 99.00
2010 08 19 22 12 231  2.3  4.3 99.00 99.00 99.00 999 1010.8  28.6  29.9 999.0 99.0 99.00
2010 08 19 22 18 232  2.7  4.1 99.00 99.00 99.00 999 1010.8  28.7  29.9 999.0 99.0 99.00
2010 08 19 22 24 229  2.9  3.8 99.00 99.00 99.00 999 1010.7  28.6  29.9 999.0 99.0 99.00
2010 08 19 22 30 224  2.6  4.3 99.00 99.00 99.00 999 1010.7  28.5  29.9 999.0 99.0 99.00
2010 08 19 22 36 227  3.9  5.1 99.00 99.00 99.00 999 1010.6  28.5  30.0 999.0 99.0 99.00
2010 08 19 22 42 232  3.4  4.6 99.00 99.00 99.00 999 1010.6  28.3  30.0 999.0 99.0 99.00
2010 08 19 22 48 217  3.5  5.1 99.00 99.00 99.00 999 1010.7  28.2  29.9 999.0 99.0 99.00
2010 08 19 22 54 225  3.4  4.6 99.00 99.00 99.00 999 1010.7  28.2  29.8 999.0 99.0 99.00
2010 08 19 23 00 224  3.6  4.8 99.00 99.00 99.00 999 1010.8  28.0  29.6 999.0 99.0 99.00
2010 08 19 23 06 223  3.7  5.0 99.00 99.00 99.00 999 1010.7  28.0  29.5 999.0 99.0 99.00
2010 08 19 23 12 220  3.9  5.5 99.00 99.00 99.00 999 1010.7  27.9  29.5 999.0 99.0 99.00
2010 08 19 23 18 212  3.6  5.1 99.00 99.00 99.00 999 1010.7  27.8  29.4 999.0 99.0 99.00
2010 08 19 23 24 219  3.2  5.1 99.00 99.00 99.00 999 1010.7  27.8  29.3 999.0 99.0 99.00
2010 08 19 23 30 225  3.9  5.0 99.00 99.00 99.00 999 1010.7  27.8  29.3 999.0 99.0 99.00
2010 08 19 23 36 224  3.4  4.7 99.00 99.00 99.00 999 1010.7  27.7  29.2 999.0 99.0 99.00
2010 08 19 23 42 227  3.5  4.8 99.00 99.00 99.00 999 1010.7  27.6  29.2 999.0 99.0 99.00
2010 08 19 23 48 232  3.5  5.3 99.00 99.00 99.00 999 1010.9  27.6  29.2 999.0 99.0 99.00
2010 08 19 23 54 231  3.4  4.4 99.00 99.00 99.00 999 1010.9  27.5  29.1 999.0 99.0 99.00
2010 08 20 00 00 228  2.3  4.0 99.00 99.00 99.00 999 1011.0  27.5  29.0 999.0 99.0 99.00
2010 08 20 00 06 221  3.1  4.2 99.00 99.00 99.00 999 1011.0  27.5  29.0 999.0 99.0 99.00
2010 08 20 00 12 214  3.1  4.6 99.00 99.00 99.00 999 1010.8  27.6  29.1 999.0 99.0 99.00
2010 08 20 00 18 216  3.0  4.3 99.00 99.00 99.00 999 1010.7  27.6  28.9 999.0 99.0 99.00
2010 08 20 00 24 230  2.6  3.9 99.00 99.00 99.00 999 1010.8  27.6  28.9 999.0 99.0 99.00
2010 08 20 00 30 231  2.7  4.0 99.00 99.00 99.00 999 1011.0  27.6  28.9 999.0 99.0 99.00
2010 08 20 00 36 230  2.9  4.2 99.00 99.00 99.00 999 1011.0  27.5  28.9 999.0 99.0 99.00
2010 08 20 00 42 228  3.3  4.5 99.00 99.00 99.00 999 1010.9  27.5  29.0 999.0 99.0 99.00
2010 08 20 00 48 228  4.2  5.1 99.00 99.00 99.00 999 1010.9  27.5  28.8 999.0 99.0 99.00
2010 08 20 00 54 217  3.3  4.7 99.00 99.00 99.00 999 1011.0  27.6  28.8 999.0 99.0 99.00
2010 08 20 01 00 225  2.7  5.4 99.00 99.00 99.00 999 1011.0  27.7  28.8 999.0 99.0 99.00
2010 08 20 01 06 221  2.5  3.9 99.00 99.00 99.00 999 1011.2  27.8  28.7 999.0 99.0 99.00
2010 08 20 01 12 224  3.9  5.0 99.00 99.00 99.00 999 1011.3  27.7  28.7 999.0 99.0 99.00
2010 08 20 01 18 227  3.2  4.7 99.00 99.00 99.00 999 1011.3  27.7  28.7 999.0 99.0 99.00
2010 08 20 01 24 224  2.8  4.8 99.00 99.00 99.00 999 1011.3  27.7  28.7 999.0 99.0 99.00
2010 08 20 01 30 231  3.0  4.7 99.00 99.00 99.00 999 1011.4  27.6  28.6 999.0 99.0 99.00
2010 08 20 01 36 223  3.5  5.4 99.00 99.00 99.00 999 1011.4  27.6  28.6 999.0 99.0 99.00
2010 08 20 01 42 229  2.9  5.2 99.00 99.00 99.00 999 1011.2  27.7  28.4 999.0 99.0 99.00
2010 08 20 01 48 223  2.5  4.1 99.00 99.00 99.00 999 1011.5  27.7  28.4 999.0 99.0 99.00
2010 08 20 01 54 215  2.9  4.4 99.00 99.00 99.00 999 1011.3  27.8  28.4 999.0 99.0 99.00
2010 08 20 02 00 211  2.0  4.1 99.00 99.00 99.00 999 1011.1  27.8  28.5 999.0 99.0 99.00
2010 08 20 02 06 228  1.8  3.7 99.00 99.00 99.00 999 1011.1  27.9  28.5 999.0 99.0 99.00
2010 08 20 02 12 221  2.5  3.2 99.00 99.00 99.00 999 1011.3  27.9  28.5 999.0 99.0 99.00
2010 08 20 02 18 236  2.1  3.2 99.00 99.00 99.00 999 1011.3  27.9  28.5 999.0 99.0 99.00
2010 08 20 02 24 212  2.2  3.2 99.00 99.00 99.00 999 1011.5  27.9  28.5 999.0 99.0 99.00
2010 08 20 02 30 224  2.1  3.2 99.00 99.00 99.00 999 1011.3  27.9  28.5 999.0 99.0 99.00
2010 08 20 02 36 234  1.8  3.0 99.00 99.00 99.00 999 1011.4  27.9  28.5 999.0 99.0 99.00
2010 08 20 02 42 235  1.7  2.6 99.00 99.00 99.00 999 1011.4  27.9  28.5 999.0 99.0 99.00
2010 08 20 02 48 262  1.5  2.1 99.00 99.00 99.00 999 1011.5  27.9  28.4 999.0 99.0 99.00
2010 08 20 02 54 330  4.4  7.5 99.00 99.00 99.00 999 1011.5  27.9  28.4 999.0 99.0 99.00
2010 08 20 03 00 358  6.9  9.7 99.00 99.00 99.00 999 1011.7  27.2  28.4 999.0 99.0 99.00
2010 08 20 03 06 355  6.1  8.6 99.00 99.00 99.00 999 1011.7  27.1  28.4 999.0 99.0 99.00
2010 08 20 03 12 345  4.6  6.8 99.00 99.00 99.00 999 1011.5  26.3  28.4 999.0 99.0 99.00
2010 08 20 03 18 322  6.9  7.7 99.00 99.00 99.00 999 1011.2  25.7  28.5 999.0 99.0 99.00
2010 08 20 03 24 322  5.7  7.5 99.00 99.00 99.00 999 1011.5  25.5  28.5 999.0 99.0 99.00
2010 08 20 03 30 309  6.8  8.6 99.00 99.00 99.00 999 1011.4  25.7  28.5 999.0 99.0 99.00
2010 08 20 03 36 303  8.2  9.1 99.00 99.00 99.00 999 1011.5  25.5  28.5 999.0 99.0 99.00
2010 08 20 03 42 285  7.7  8.3 99.00 99.00 99.00 999 1011.5  25.4  28.4 999.0 99.0 99.00
2010 08 20 03 48 272  3.4  7.3 99.00 99.00 99.00 999 1011.3  25.2  28.4 999.0 99.0 99.00
2010 08 20 03 54 216  2.7  3.5 99.00 99.00 99.00 999 1011.0  25.3  28.4 999.0 99.0 99.00
2010 08 20 04 00 173  2.8  3.9 99.00 99.00 99.00 999 1011.0  24.7  28.4 999.0 99.0 99.00
2010 08 20 04 06 180  1.4  2.8 99.00 99.00 99.00 999 1010.7  24.8  28.4 999.0 99.0 99.00
2010 08 20 04 12 181  0.4  2.8 99.00 99.00 99.00 999 1010.9  25.0  28.5 999.0 99.0 99.00
2010 08 20 04 30 213  4.1  5.0 99.00 99.00 99.00 999 1011.2  25.4  28.5 999.0 99.0 99.00
2010 08 20 04 36 219  2.1  4.2 99.00 99.00 99.00 999 1011.2  25.6  28.5 999.0 99.0 99.00
2010 08 20 04 42 227  3.5  5.0 99.00 99.00 99.00 999 1011.1  25.7  28.5 999.0 99.0 99.00
2010 08 20 04 48 226  3.8  4.9 99.00 99.00 99.00 999 1011.0  25.4  28.5 999.0 99.0 99.00
2010 08 20 04 54 219  3.0  4.4 99.00 99.00 99.00 999 1011.2  25.4  28.5 999.0 99.0 99.00
2010 08 20 05 00 213  1.9  3.2 99.00 99.00 99.00 999 1011.2  25.2  28.5 999.0 99.0 99.00
2010 08 20 05 06 228  1.8  2.7 99.00 99.00 99.00 999 1011.0  25.4  28.5 999.0 99.0 99.00
2010 08 20 05 12 220  1.8  3.0 99.00 99.00 99.00 999 1011.1  25.5  28.5 999.0 99.0 99.00
2010 08 20 05 18 223  2.3  2.7 99.00 99.00 99.00 999 1011.1  25.5  28.5 999.0 99.0 99.00
2010 08 20 05 24 237  2.4  3.4 99.00 99.00 99.00 999 1011.2  25.5  28.5 999.0 99.0 99.00
