"Year","Month","Day","dailywtmp"
2011,1,1,5.57196652719665
2011,1,2,6.90625
2011,1,3,8.16291666666667
2011,1,4,7.85458333333333
2011,1,5,7.78333333333333
2011,1,6,7.78458333333333
2011,1,7,7.7397489539749
2011,1,8,7.71291666666667
2011,1,9,6.765
2011,1,10,5.58375
2011,1,11,4.67833333333333
2011,1,12,4.3223602484472
2011,1,13,4.35375
2011,1,14,4.31333333333333
2011,1,15,4.59916666666667
2011,1,16,5.12156862745098
2011,1,17,5.94336283185841
2011,1,18,6.63974358974359
2011,1,19,7.29041666666667
2011,1,20,7.75188284518828
2011,1,21,8.35708333333333
2011,1,22,7.58791666666667
2011,1,23,5.03083333333333
2011,1,24,5.09083333333333
2011,1,25,5.12375
2011,1,26,6.38916666666667
2011,1,27,7.03375
2011,1,28,7.02352941176471
2011,1,29,7.25875
2011,1,30,7.57
2011,1,31,8.09291666666667
2011,2,1,8.21213389121339
2011,2,2,9.03839662447257
2011,2,3,9.97208333333333
2011,2,4,8.98410041841004
2011,2,5,8.45791666666667
2011,2,6,9.40208333333333
2011,2,7,9.80791666666667
2011,2,8,9.69875
2011,2,9,9.57226890756302
2011,2,10,8.90583333333333
2011,2,11,7.69541666666667
2011,2,12,6.99666666666667
2011,2,13,7.44916666666667
2011,2,14,8.39125
2011,2,15,8.94525862068966
2011,2,16,8.87041666666667
2011,2,17,9.42170212765958
2011,2,18,10.3975
2011,2,19,11.1041666666667
2011,2,20,10.9325
2011,2,21,10.9270833333333
2011,2,22,11.4683333333333
2011,2,23,10.43375
2011,2,24,10.2979079497908
2011,2,25,11.1254166666667
2011,2,26,11.5658333333333
2011,2,27,11.5629166666667
2011,2,28,12.3858333333333
2011,3,1,13.1025210084034
2011,3,2,12.3041666666667
2011,3,3,12.2254166666667
2011,3,4,11.3258333333333
2011,3,5,11.70125
2011,3,6,12.3958333333333
2011,3,7,12.71125
2011,3,8,12.5254166666667
2011,3,9,12.5258333333333
2011,3,10,12.9225
2011,3,11,13.0808333333333
2011,3,12,12.6945833333333
2011,3,13,12.7845833333333
2011,3,14,13.4308333333333
2011,3,15,13.0733333333333
2011,3,16,13.1795833333333
2011,3,17,14.0241666666667
2011,3,18,14.2783333333333
2011,3,19,14.9091666666667
2011,3,20,14.7933333333333
2011,3,21,14.7266666666667
2011,3,22,15.1879166666667
2011,3,23,15.5779166666667
2011,3,24,15.8554166666667
2011,3,25,15.4047846889952
2011,3,26,14.5477272727273
2011,3,27,13.8858333333333
2011,3,28,12.0958333333333
2011,3,29,11.2020833333333
2011,3,30,11.9583333333333
2011,3,31,12.2370833333333
2011,4,1,12.6033613445378
2011,4,2,12.6654166666667
2011,4,3,12.935
2011,4,4,13.9570833333333
2011,4,5,15.07375
2011,4,6,15.0875
2011,4,7,15.1641666666667
2011,4,8,16.0041666666667
2011,4,9,16.745
2011,4,10,16.8345833333333
2011,4,11,17.73375
2011,4,12,18.35375
2011,4,13,18.2679166666667
2011,4,14,18.20625
2011,4,15,18.2570833333333
2011,4,16,18.43125
2011,4,17,18.2583333333333
2011,4,18,18.2095833333333
2011,4,19,18.81875
2011,4,20,19.53375
2011,4,21,20.0528138528139
2011,4,22,19.5416666666667
2011,4,23,19.6575
2011,4,24,20.5570833333333
2011,4,25,21.3929166666667
2011,4,26,21.91625
2011,4,27,21.9779166666667
2011,4,28,22.3595833333333
2011,4,29,22.1141666666667
2011,4,30,21.7658333333333
2011,5,1,21.4298319327731
2011,5,2,21.4204166666667
2011,5,3,21.8433333333333
2011,5,4,21.995
2011,5,5,21.1958333333333
2011,5,6,20.46375
2011,5,7,20.5929166666667
2011,5,8,20.9475
2011,5,9,20.9166666666667
2011,5,10,21.3641666666667
2011,5,11,21.3233333333333
2011,5,12,21.0875
2011,5,13,21.2887029288703
2011,5,14,21.8579166666667
2011,5,15,22.2379166666667
2011,5,16,22.37875
2011,5,17,22.3429166666667
2011,5,18,22.4879166666667
2011,5,19,22.4858333333333
2011,5,20,22.7141666666667
2011,5,21,23.3775
2011,5,22,24.09125
2011,5,23,24.8975
2011,5,24,25.18
2011,5,25,25.53
2011,5,26,25.7395833333333
2011,5,27,25.6654166666667
2011,5,28,25.7179166666667
2011,5,29,25.91625
2011,5,30,26.3629166666667
2011,5,31,26.6104166666667
2011,6,1,26.7890756302521
2011,6,2,27.0233333333333
2011,6,3,27.2425
2011,6,4,26.4458333333333
2011,6,5,26.0433333333333
2011,6,6,25.9258333333333
2011,6,7,26.2829166666667
2011,6,8,26.6270833333333
2011,6,9,26.6591666666667
2011,6,10,26.4038626609442
2011,6,11,26.22375
2011,6,12,26.4504166666667
2011,6,13,26.5345833333333
2011,6,14,26.54875
2011,6,15,26.4354166666667
2011,6,16,26.0970833333333
2011,6,17,25.9925287356322
2011,6,18,26.4970833333333
2011,6,19,26.7729166666667
2011,6,20,26.9670833333333
2011,6,21,26.8941666666667
2011,6,22,26.7154166666667
2011,6,23,27.0852941176471
2011,6,24,27.26625
2011,6,25,27.1045833333333
2011,6,26,27.1341666666667
2011,6,27,27.6425
2011,6,28,27.7285714285714
2011,6,29,27.4891666666667
2011,6,30,27.0920833333333
2011,7,1,27.6365546218487
2011,7,2,28.0354166666667
2011,7,3,28.0766666666667
2011,7,4,27.53875
2011,7,5,27.3033333333333
2011,7,6,27.4908333333333
2011,7,7,28.11625
2011,7,8,28.12875
2011,7,9,27.1383333333333
2011,7,10,27.3945833333333
2011,7,11,28.21625
2011,7,12,28.3529166666667
2011,7,13,28.565
2011,7,14,28.8520833333333
2011,7,15,27.5825
2011,7,16,26.8854166666667
2011,7,17,27.0329166666667
2011,7,18,27.5616666666667
2011,7,19,27.9433333333333
2011,7,20,28.1145833333333
2011,7,21,28.74
2011,7,22,29.1945833333333
2011,7,23,29.3204166666667
2011,7,24,29.16625
2011,7,25,28.8929166666667
2011,7,26,28.2625
2011,7,27,27.8970833333333
2011,7,28,28.36625
2011,7,29,28.5683333333333
2011,7,30,29.0454166666667
2011,7,31,29.7329166666667
2011,8,1,29.6816666666667
2011,8,2,29.6370833333333
2011,8,3,29.7454166666667
2011,8,4,29.7279166666667
2011,8,5,29.8654166666667
2011,8,6,29.9291666666667
2011,8,7,29.6966666666667
2011,8,8,29.7429166666667
2011,8,9,29.8679166666667
2011,8,10,29.5908333333333
2011,8,11,29.7125
2011,8,12,29.595
2011,8,13,28.8283333333333
2011,8,14,28.47875
2011,8,15,28.6733333333333
2011,8,16,28.6191666666667
2011,8,17,28.8045833333333
2011,8,18,28.7854166666667
2011,8,19,28.6325
2011,8,20,28.90125
2011,8,21,29.3208333333333
2011,8,22,28.97
2011,8,23,28.3591666666667
2011,8,24,27.6908333333333
2011,8,25,27.7029166666667
2011,8,26,28.06125
2011,8,27,26.41
2011,8,28,24.82125
2011,8,29,26.2604166666667
2011,8,30,27.2358333333333
2011,8,31,26.7729166666667
2011,9,1,26.3025
2011,9,2,26.3095833333333
2011,9,3,26.45375
2011,9,4,26.59875
2011,9,5,26.8833333333333
2011,9,6,27.1933333333333
2011,9,7,27.58
2011,9,8,27.57375
2011,9,9,27.2079166666667
2011,9,10,26.8116666666667
2011,9,11,26.7683333333333
2011,9,12,27.1954166666667
2011,9,13,27.3016666666667
2011,9,14,27.62375
2011,9,15,27.925
2011,9,16,26.9208333333333
2011,9,17,24.035
2011,9,18,22.6670833333333
2011,9,19,22.5479166666667
2011,9,20,23.2941666666667
2011,9,21,23.76
2011,9,22,24.3804166666667
2011,9,23,24.77375
2011,9,24,24.97875
2011,9,25,24.5316666666667
2011,9,26,24.2083333333333
2011,9,27,24.1654166666667
2011,9,28,24.5775
2011,9,29,25.5083333333333
2011,9,30,25.6120833333333
2011,10,1,25.1070833333333
2011,10,2,22.9433333333333
2011,10,3,21.5375
2011,10,4,21.0475
2011,10,5,20.9725
2011,10,6,21.3641666666667
2011,10,7,20.9208333333333
2011,10,8,20.675
2011,10,9,20.905
2011,10,10,21.0541666666667
2011,10,11,21.0216666666667
2011,10,12,20.83125
2011,10,13,21.7416666666667
2011,10,14,22.1016736401674
2011,10,15,21.8070833333333
2011,10,16,21.5945833333333
2011,10,17,21.4566666666667
