"Year","Month","monthlywtmp"
2011,1,6.56892237702587
2011,2,9.71682340647858
2011,3,13.277105444521
2011,4,18.0815968841285
2011,5,22.9510555331451
2011,6,26.7439966296868
2011,7,28.1663619252487
2011,8,28.6490725806452
2011,9,25.723
2011,10,20.7046412300683
2011,11,15.6898705996939
2011,12,12.9950914470145
2012,1,10.8701051779935
2012,2,11.3023994252874
2012,3,15.7470334992601
2012,4,18.3532101167315
2012,5,23.0958837772397
2012,6,25.0170795306389
2012,7,28.4316356777149
2012,8,28.027895100069
2012,9,25.8148076121684
2012,10,21.7845688147451
2012,11,13.226788939836
2012,12,12.6990454423232
2013,1,10.4484946236559
2013,2,10.6147023809524
2013,3,11.3447261936876
2013,4,16.1258960822451
2013,5,20.6691186394925
2013,6,25.7019378223895
2013,7,27.8208456773499
2013,8,26.8305593082951
2013,9,25.5354708582557
2013,10,21.2550753904146
2013,11,15.0647765363128
2013,12,12.4048957632818
2014,1,8.83871663521165
2014,2,8.25926257650396
2014,3,10.3546407185629
2014,4,16.2608363434287
2014,5,22.3851344086022
2014,6,26.1249200833912
2014,7,27.4703638814016
2014,8,26.8968934911243
2014,9,25.9669654110069
2014,10,21.9499320652174
2014,11,14.4616794961512
2014,12,11.6471269008209
2015,1,9.61901683501683
2015,2,6.46047966631908
2015,3,10.5037725303898
2015,4,16.7159844335543
2015,5,21.7673469387755
2015,6,27.1706161137441
2015,7,27.5261298274445
2015,8,27.1966503932737
2015,9,25.5848194444444
2015,10,21.146141282156
2015,11,17.5433166248956
2015,12,15.6486086602416
2016,1,9.98823449586104
2016,2,8.92346924074341
2016,3,13.9406386462882
2016,4,16.1031210636809
2016,5,20.8966060606061
2016,6,24.8991907353146
2016,7,27.9340764761519
2016,8,28.1477874915938
2016,9,25.6173119777159
2016,10,20.9076860841424
2016,11,15.0955993294216
2016,12,10.9362252458575
2017,1,9.51989768443726
2017,2,11.464855942377
2017,3,12.773034164859
2017,4,18.0130068752631
2017,5,21.7976351351351
2017,6,24.8085996110031
2017,7,26.5719124047878
2017,8,25.8696851453175
2017,9,23.7381719683289
2017,10,21.8543049932524
2017,11,16.670264255911
2017,12,11.8131412414165
2018,1,7.18975155279503
2018,2,12.0353896587692
2018,3,11.5383559800888
2018,4,16.4918000835306
2018,5,23.1513159670671
2018,6,28.0257198497705
2018,7,28.4414338285403
2018,8,28.5513460733715
2018,9,28.2238407821229
2018,10,23.6209051724138
2018,11,17.1899582793843
2018,12,13.0045719844358
2019,1,11.5819849418207
2019,2,12.1316158900836
2019,3,14.2216869095816
2019,4,18.5046753738406
2019,5,24.692312040701
2019,6,27.1126862494679
2019,7,28.8694242132747
2019,8,28.8679956007699
2019,9,26.9276694915254
2019,10,23.3541503046716
2019,11,16.1058222095995
2019,12,12.7260335652886
2020,1,12.4877195352607
2020,2,11.967012987013
2020,3,14.7966644250168
2020,4,18.09725
2020,5,21.7589667698103
2020,6,25.5772000556096
2020,7,29.4484372867476
2020,8,28.923766570999
2020,9,26.2506475421251
2020,10,22.8116876097825
2020,11,18.528902830464
2020,12,12.8828940290479
2021,1,11.094526348808
2021,2,10.2403083247688
2021,3,14.2729989134372
2021,4,18.9005425709516
2021,5,22.0445117752376
2021,6,26.2728995401979
2021,7,28.4286098413552
2021,8,29.4287269794327
2021,9,26.8070833333333
2021,10,23.4149636020491
2021,11,15.8552083333333
2021,12,13.9638614662567
