"Year","Month","Day","dailywtmp"
2011,1,1,5.52050209205021
2011,1,2,6.82166666666667
2011,1,3,7.31791666666667
2011,1,4,6.255
2011,1,5,6.42041666666667
2011,1,6,6.66375
2011,1,7,6.6836820083682
2011,1,8,6.97416666666667
2011,1,9,4.98041666666667
2011,1,10,2.90083333333333
2011,1,11,3.70375
2011,1,12,4.02458333333333
2011,1,13,2.54333333333333
2011,1,14,2.59958333333333
2011,1,15,4.85791666666667
2011,1,16,6.4
2011,1,17,6.4
2011,1,18,6.98068669527897
2011,1,19,8.7825
2011,1,20,8.11375
2011,1,21,8.39958333333333
2011,1,22,6.71125
2011,1,23,2.39333333333333
2011,1,24,3.28416666666667
2011,1,25,3.86791666666667
2011,1,26,5.28166666666667
2011,1,27,6.1475
2011,1,28,6.28361344537815
2011,1,29,6.74625
2011,1,30,7.38208333333333
2011,1,31,8.06708333333333
2011,2,1,8.20291666666667
2011,2,2,8.20333333333333
2011,2,3,8.76
2011,2,4,7.54625
2011,2,5,7.17916666666667
2011,2,6,8.80333333333333
2011,2,7,9.405
2011,2,8,9.23708333333333
2011,2,9,8.69451476793249
2011,2,10,7.33958333333333
2011,2,11,5.45541666666667
2011,2,12,5.22208333333333
2011,2,13,6.86458333333333
2011,2,14,8.95041666666667
2011,2,15,10.1451063829787
2011,2,16,9.82916666666667
2011,2,17,11.1182978723404
2011,2,18,12.2316666666667
2011,2,19,13
2011,2,20,13
2011,2,21,13
2011,2,22,13
2011,2,23,13
2011,2,24,13
2011,2,25,13
2011,2,26,13
2011,2,27,13
2011,2,28,13
2011,3,1,13
2011,3,2,13
2011,3,3,13
2011,3,4,13
2011,3,5,13
2011,3,6,13
2011,3,7,13
2011,3,8,13
2011,3,9,13
2011,3,10,13
2011,3,11,13
2011,3,12,13
2011,3,13,13
2011,3,14,13
2011,3,15,13
2011,3,16,13
2011,3,17,13
2011,3,18,13
2011,3,19,13
2011,3,20,13
2011,3,21,13
2011,3,22,13
2011,3,23,13
2011,3,24,13
2011,3,25,13
2011,3,26,13
2011,3,27,13
2011,3,28,13
2011,3,29,13
2011,3,30,13
2011,3,31,13
2011,4,1,13
2011,4,2,13
2011,4,3,13
2011,4,4,13
2011,4,5,13
2011,4,6,13
2011,4,7,13
2011,4,8,13
2011,4,9,13
2011,4,10,13
2011,4,11,13
2011,4,12,13
2011,4,13,13
2011,4,14,15.5404166666667
2011,4,15,18.6925
2011,4,16,18.9283333333333
2011,4,17,18.6829166666667
2011,4,18,18.6583333333333
2011,4,19,19.68125
2011,4,20,20.0316666666667
2011,4,21,20.4194805194805
2011,4,22,18.6266666666667
2011,4,23,18.94
2011,4,24,20.7916666666667
2011,4,25,22.1370833333333
2011,4,26,22.42125
2011,4,27,21.57375
2011,4,28,22.0854166666667
2011,4,29,21.6691666666667
2011,4,30,22.1816666666667
2011,5,1,21.0600840336134
2011,5,2,21.1020833333333
2011,5,3,21.9620833333333
2011,5,4,22.3541666666667
2011,5,5,19.3358333333333
2011,5,6,19.06625
2011,5,7,19.6875
2011,5,8,20.3841666666667
2011,5,9,19.9304166666667
2011,5,10,20.9666666666667
2011,5,11,20.0275
2011,5,12,19.4408333333333
2011,5,13,19.735
2011,5,14,19.6733333333333
2011,5,15,20.7916666666667
2011,5,16,20.3745833333333
2011,5,17,20.1933054393305
2011,5,18,21.1508333333333
2011,5,19,21.73125
2011,5,20,22.4445833333333
2011,5,21,23.6583333333333
2011,5,22,24.5470833333333
2011,5,23,25.2225
2011,5,24,25.1191666666667
2011,5,25,25.4175
2011,5,26,25.55375
2011,5,27,25.67625
2011,5,28,25.8545833333333
2011,5,29,25.9733333333333
2011,5,30,26.6279166666667
2011,5,31,26.51
2011,6,1,26.3823529411765
2011,6,2,26.8983333333333
2011,6,3,26.6204166666667
2011,6,4,25.0670833333333
2011,6,5,24.8658333333333
2011,6,6,24.4745833333333
2011,6,7,25.1566666666667
2011,6,8,25.9541666666667
2011,6,9,26.3220833333333
2011,6,10,26.0360515021459
2011,6,11,26.0541666666667
2011,6,12,26.2191666666667
2011,6,13,26.30375
2011,6,14,25.3516666666667
2011,6,15,25.6558333333333
2011,6,16,25.2741666666667
2011,6,17,24.6505747126437
2011,6,18,25.1270833333333
2011,6,19,26.2166666666667
2011,6,20,26.7445833333333
2011,6,21,26.5770833333333
2011,6,22,26.685
2011,6,23,27.3071129707113
2011,6,24,27.0754166666667
2011,6,25,26.415
2011,6,26,26.6183333333333
2011,6,27,27.5008333333333
2011,6,28,28.25375
2011,6,29,27.4233333333333
2011,6,30,26.2270833333333
2011,7,1,27.0340336134454
2011,7,2,27.7904166666667
2011,7,3,27.9475
2011,7,4,27.12125
2011,7,5,27.0445833333333
2011,7,6,27.2979166666667
2011,7,7,27.7008333333333
2011,7,8,26.6808333333333
2011,7,9,25.7004166666667
2011,7,10,26.4866666666667
2011,7,11,27.6483333333333
2011,7,12,28.2275
2011,7,13,27.5483333333333
2011,7,14,27.27125
2011,7,15,25.84375
2011,7,16,25.4554166666667
2011,7,17,26.3575
2011,7,18,27.4058333333333
2011,7,19,27.6216666666667
2011,7,20,27.58625
2011,7,21,27.75625
2011,7,22,28.69875
2011,7,23,29.2691666666667
2011,7,24,28.4625
2011,7,25,28.27875
2011,7,26,26.9216666666667
2011,7,27,26.4520833333333
2011,7,28,27.8895833333333
2011,7,29,28.5183333333333
2011,7,30,29.0075
2011,7,31,28.585
2011,8,1,28.1891213389121
2011,8,2,28.8666666666667
2011,8,3,29.11875
2011,8,4,29.3679166666667
2011,8,5,29.2716666666667
2011,8,6,28.79625
2011,8,7,28.72
2011,8,8,29.4908333333333
2011,8,9,29.9070833333333
2011,8,10,29.7170833333333
2011,8,11,29.39
2011,8,12,29.0375
2011,8,13,28.36
2011,8,14,27.96
2011,8,15,27.95875
2011,8,16,28.21125
2011,8,17,28.5804166666667
2011,8,18,28.5708333333333
2011,8,19,28.4270833333333
2011,8,20,28.2579166666667
2011,8,21,28.70375
2011,8,22,28.2845833333333
2011,8,23,26.9904166666667
2011,8,24,25.9075
2011,8,25,26.1841666666667
2011,8,26,26.9245833333333
2011,8,27,25.8579166666667
2011,8,28,25.19375
2011,8,29,26.9345833333333
2011,8,30,28.29625
2011,8,31,26.6470833333333
2011,9,1,25.5933333333333
2011,9,2,25.4220833333333
2011,9,3,25.57625
2011,9,4,26.1595833333333
2011,9,5,26.7266666666667
2011,9,6,26.4920833333333
2011,9,7,26.8904166666667
2011,9,8,27.65375
2011,9,9,27.5641666666667
2011,9,10,27.24125
2011,9,11,27.0604166666667
2011,9,12,27.3383333333333
2011,9,13,27.3533333333333
2011,9,14,27.83875
2011,9,15,27.9120833333333
2011,9,16,26.23
2011,9,17,22.6583333333333
2011,9,18,21.7495833333333
2011,9,19,22.27375
2011,9,20,23.2970833333333
2011,9,21,23.81625
2011,9,22,24.3783333333333
2011,9,23,24.9791666666667
2011,9,24,25.2083333333333
2011,9,25,24.5920833333333
2011,9,26,24.4042372881356
2011,9,27,24.955462184874
2011,9,28,25.6958333333333
2011,9,29,26.3745833333333
2011,9,30,25.9720833333333
2011,10,1,24.88125
2011,10,2,21.4758333333333
2011,10,3,19.6216666666667
2011,10,4,19.2954166666667
2011,10,5,19.4316666666667
2011,10,6,21.0708333333333
2011,10,7,20.3933333333333
2011,10,8,20.0854166666667
2011,10,9,20.3275
2011,10,10,20.5895833333333
2011,10,11,20.8320833333333
2011,10,12,20.68875
2011,10,13,21.8433333333333
2011,10,14,22.1845833333333
2011,10,15,21.5345833333333
2011,10,16,20.9291666666667
2011,10,17,20.9533333333333
2011,10,18,22.4029661016949
2011,10,19,23.9078602620087
2011,10,20,22.0017467248908
2011,10,21,18.7383495145631
2011,10,22,18.1816901408451
2011,10,23,18.6552173913043
2011,10,24,19.1978354978355
2011,10,25,18.5045045045045
2011,10,26,19.1121212121212
2011,10,27,19.6164502164502
2011,10,28,19.5939130434783
2011,10,29,17.9469298245614
2011,10,30,14.5541850220264
2011,10,31,13.7665236051502
2011,11,1,14.3441558441558
2011,11,2,13.8516666666667
2011,11,3,14.8125
2011,11,4,15.8066666666667
2011,11,5,13.9654166666667
2011,11,6,13.3658333333333
2011,11,7,14.2483333333333
2011,11,8,15.1879166666667
2011,11,9,15.8779166666667
2011,11,10,16.8179166666667
2011,11,11,15.90625
2011,11,12,13.8083333333333
2011,11,13,14.1875
2011,11,14,15.6229166666667
2011,11,15,16.8758333333333
2011,11,16,18.1683333333333
2011,11,17,19.2391666666667
2011,11,18,14.9204166666667
2011,11,19,13.4558333333333
2011,11,20,15.3620833333333
2011,11,21,17.0770833333333
2011,11,22,17.9958333333333
2011,11,23,18.9308333333333
2011,11,24,16.6775
2011,11,25,14.9154166666667
2011,11,26,15.6354166666667
2011,11,27,16.2266666666667
2011,11,28,17.6216666666667
2011,11,29,17.8854166666667
2011,11,30,15.64375
2011,12,1,13.1041666666667
2011,12,2,11.8716666666667
2011,12,3,12.5729166666667
2011,12,4,13.0391666666667
2011,12,5,14.1866666666667
2011,12,6,15.02125
2011,12,7,15.6720833333333
2011,12,8,15.2425
2011,12,9,13.6879166666667
2011,12,10,13.7479166666667
2011,12,11,11.4795833333333
2011,12,12,11.0886075949367
2011,12,13,11.71625
2011,12,14,11.28125
2011,12,15,11.8520833333333
2011,12,16,12.90125
2011,12,17,13.08375
2011,12,18,10.6491666666667
2011,12,19,10.37375
2011,12,20,11.4654166666667
2011,12,21,13.4275
2011,12,22,15.8729166666667
2011,12,23,17.25875
2011,12,24,15.3666666666667
2011,12,25,13.5395833333333
2011,12,26,13.0775
2011,12,27,13.0541666666667
2011,12,28,14.0166666666667
2011,12,29,11.4445833333333
2011,12,30,11.7766666666667
2011,12,31,12.3666666666667
2012,1,1,13.0141666666667
2012,1,2,13.8748878923767
2012,1,3,9.73583333333333
2012,1,4,5.86083333333333
2012,1,5,6.54375
2012,1,6,9.76125
2012,1,7,11.4291666666667
2012,1,8,12.1895833333333
2012,1,9,11.7829166666667
2012,1,10,11.8683333333333
2012,1,11,12.8770833333333
2012,1,12,13.8333333333333
2012,1,13,13.0945833333333
2012,1,14,9.25
2012,1,15,7.7225
2012,1,16,7.37833333333333
2012,1,17,9.15166666666667
2012,1,18,11.72625
2012,1,19,9.56958333333333
2012,1,20,10.2383333333333
2012,1,21,11.59375
2012,1,22,12.1616666666667
2012,1,23,11.91875
2012,1,24,13.265
2012,1,25,13.2333333333333
2012,1,26,13.0533333333333
2012,1,27,14.0108333333333
2012,1,28,14.3429166666667
2012,1,29,13.34125
2012,1,30,11.675
2012,1,31,11.6604166666667
2012,2,1,12.6991666666667
2012,2,2,14.205
2012,2,3,13.47
2012,2,4,12.6666666666667
2012,2,5,13.6341666666667
2012,2,6,11.5670833333333
2012,2,7,12.1275
2012,2,8,11.9791666666667
2012,2,9,10.875
2012,2,10,11.2170833333333
2012,2,11,11.52875
2012,2,12,8.48
2012,2,13,7.91916666666667
2012,2,14,9.09416666666667
2012,2,15,9.34666666666667
2012,2,16,11.0241666666667
2012,2,17,12.6433333333333
2012,2,18,12.8425
2012,2,19,13.2633333333333
2012,2,20,10.3766666666667
2012,2,21,10.79625
2012,2,22,12.3070833333333
2012,2,23,15.2358333333333
2012,2,24,17.07375
2012,2,25,15.8345833333333
2012,2,26,10.485
2012,2,27,10.8645833333333
2012,2,28,12.3241666666667
2012,2,29,14.0266666666667
2012,3,1,15.3720833333333
2012,3,2,16.4335714285714
2012,3,5,11.5339130434783
2012,3,6,10.2979079497908
2012,3,7,10.4669456066946
2012,3,8,12.3675
2012,3,9,14.2949790794979
2012,3,10,12.9908333333333
2012,3,11,11.8604166666667
2012,3,12,12.8354166666667
2012,3,13,14.4741666666667
2012,3,14,15.7991666666667
2012,3,15,17.6616666666667
2012,3,16,18.47375
2012,3,17,19.2379166666667
2012,3,18,19.25875
2012,3,19,19.2591666666667
2012,3,20,18.4408333333333
2012,3,21,18.5770833333333
2012,3,22,18.7783333333333
2012,3,23,20.1883333333333
2012,3,24,20.0083333333333
2012,3,25,19.85125
2012,3,26,19.7083333333333
2012,3,27,16.655
2012,3,28,14.7416666666667
2012,3,29,16.5479166666667
2012,3,30,17.5295833333333
2012,3,31,17.3979166666667
2012,4,1,17.0275
2012,4,2,16.8625
2012,4,3,16.28875
2012,4,4,16.48
2012,4,5,17.2383333333333
2012,4,6,14.79625
2012,4,7,12.3325
2012,4,8,14.0829166666667
2012,4,9,15.7820833333333
2012,4,10,16.8075
2012,4,11,16.79875
2012,4,12,14.9420833333333
2012,4,13,16.0774058577406
2012,4,14,17.2
2012,4,15,18.1191666666667
2012,4,16,19.465
2012,4,17,20.37375
2012,4,18,20.8970833333333
2012,4,19,20.4804166666667
2012,4,20,19.8108333333333
2012,4,21,20.0283333333333
2012,4,22,20.7216666666667
2012,4,23,18.9195833333333
2012,4,24,16.89625
2012,4,25,16.49875
2012,4,26,18.46875
2012,4,27,20.0729166666667
2012,4,28,19.5020833333333
2012,4,29,18.56
2012,4,30,18.715
2012,5,1,20.40375
2012,5,2,21.5675
2012,5,3,21.92
2012,5,4,22.64625
2012,5,5,23.1029166666667
2012,5,6,22.82875
2012,5,7,22.6195833333333
2012,5,8,21.8716666666667
2012,5,9,22.4895833333333
2012,5,10,22.9308333333333
2012,5,11,22.2183333333333
2012,5,12,22.4033333333333
2012,5,13,22.7525
2012,5,14,22.27625
2012,5,15,22.19
2012,5,16,22.785
2012,5,17,23.0104166666667
2012,5,18,21.9445833333333
2012,5,19,19.8566666666667
2012,5,20,19.6995833333333
2012,5,21,20.3970833333333
2012,5,22,21.69875
2012,5,23,22.2379166666667
2012,5,24,22.6829166666667
2012,5,25,24.1716666666667
2012,5,26,24.2675
2012,5,27,24.2920833333333
