"Year","Month","monthlywtmp"
2011,1,5.76213974413047
2011,2,10.1132866090069
2011,3,13
2011,4,17
2011,5,22.3094123974721
2011,6,26.196055586749
2011,7,27.4714036031191
2011,8,28.1330151902137
2011,9,25.6478037253267
2011,10,20.1453753162778
2011,11,15.8163259630093
2011,12,13.0730267581014
2012,1,11.3218644752795
2012,2,12.065775862069
2012,3,16.329486036839
2012,4,17.6751597666018
2012,5,22.6414660390047
2012,6,24.6941454596023
2012,7,27.3090639330995
2012,8,26.9415296803653
2012,9,25.1453598221728
2012,10,21.5997846857758
2012,11,13.0135692393424
2012,12,13.2944601317736
2013,1,11.0510055865922
2013,2,11.3724728301325
2013,3,12.0030669895077
2013,4,15.3731512325117
2013,5,20.7230602278893
2013,6,26.2054664621392
2013,7,28.1390755726238
2013,8,29.0893759018759
2013,9,30.7372222222222
2013,10,30.7
2013,11,30.7
2013,12,30.7
2014,1,30.7
2014,2,30.7
2014,3,18.9884956961334
2014,4,16.1648979024865
2014,5,22.3590133082404
2014,6,25.5454343293954
2014,7,27.0524976437323
2014,8,26.5947679892401
2014,9,26.5400648166903
2014,10,21.8627206081998
2014,11,14.5524716426271
2014,12,12.1429120879121
2015,1,10.1568630118351
2015,2,6.93498053309374
2015,3,11.4103050752144
2015,4,17.8371236959762
2015,5,21.8372073921971
2015,6,27.0365143494009
2015,7,27.2034761187902
2015,8,27.1831773165107
2015,9,26.1851264943008
2015,10,21.6421215380479
2015,11,18.4277406789093
2015,12,17.4020206129645
2016,1,10.8887952134893
2016,2,10.9869327186284
2016,3,15.7309234756513
2016,4,16.5848768886402
2016,5,21.3743325653883
2016,6,25.3464574616457
2016,7,27.9142586580087
2016,8,27.9502084734365
2016,9,26.4761937908952
2016,10,21.9562567421791
2016,11,16.9295391061453
2016,12,14.2482619240097
2017,1,12.1441841680129
2017,2,13.9467961165049
2017,3,13.8035227426103
2017,4,19.5314130283164
2017,5,22.5693720459149
2017,6,25.1619596942321
2017,7,26.4219260065288
2017,8,26.4061894510226
2017,9,24.9749617896346
2017,10,22.5799704261325
2017,11,16.9403364849833
2017,12,12.8008482563619
2018,1,7.58527068988794
2018,2,12.9063142218913
2018,3,10.8225645855759
2018,4,16.5525913338997
2018,5,22.4301742762495
2018,6,26.6431200334588
2018,7,27.3605055721663
2018,8,26.9589526796673
2018,9,27.9092929573552
2018,10,22.884725023531
2018,11,17.0599162011173
2018,12,13.2338225114218
2019,1,11.0006566997345
2019,2,12.8007468259895
2019,3,13.6667116448522
2019,4,18.6713766469786
2019,5,22.8914097212872
2019,6,25.2893357623318
2019,7,26.9342342342342
2019,8,27.2799213132546
2019,9,25.820779765232
2019,10,22.3870119305857
2019,11,16.1410048848569
2019,12,12.9379487179487
2020,1,12.3495419024522
2020,2,12.2339481268012
2020,3,14.4848521505376
2020,4,17.1141805555556
2020,5,20.528185483871
2020,6,24.7064054467139
2020,7,28.4553554373039
2020,8,27.6237054242383
2020,9,25.1238758179034
2020,10,22.321848398865
2020,11,17.7628829880362
2020,12,12.5798413125336
2021,1,11.0133626097867
2021,2,8.99054470709147
2021,3,13.3111734878667
2021,4,17.5436717663421
2021,5,20.9570976180642
2021,6,25.5114098634717
2021,7,27.5077977951062
2021,8,27.3534480440919
2021,9,25.8301111111111
2021,10,22.8678838061626
2021,11,15.7238042269188
2021,12,14.8802057947468
