#YY,MM,DD,hh,mm,WDIR,WSPD,GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE
#yr,mo,dy,hr,mn,degT,m/s,m/s,m,sec,sec,deg,hPa,degC,degC,degC,nmi,ft
2010,8,19,20,18,254,2.4,3.4,99,99,99,999,1011.1,28.3,29.7,999,99,99
2010,8,19,20,24,268,2.8,3.8,99,99,99,999,1011.1,28.5,29.6,999,99,99
2010,8,19,20,30,264,2.9,3.8,99,99,99,999,1011.1,28.7,29.6,999,99,99
2010,8,19,20,36,257,2.9,3.8,99,99,99,999,1011.1,29.1,29.7,999,99,99
2010,8,19,20,42,250,2.7,3.7,99,99,99,999,1011,28.8,29.7,999,99,99
2010,8,19,20,48,254,3.1,4.1,99,99,99,999,1011,28.7,29.7,999,99,99
2010,8,19,20,54,259,3.5,4.2,99,99,99,999,1010.9,28.9,29.7,999,99,99
2010,8,19,21,0,258,3.4,4.4,99,99,99,999,1011,29.1,29.7,999,99,99
2010,8,19,21,6,256,3.8,4.5,99,99,99,999,1011,29.1,29.7,999,99,99
2010,8,19,21,12,253,3.8,5,99,99,99,999,1011,29.2,29.7,999,99,99
2010,8,19,21,18,250,3.6,4.9,99,99,99,999,1011,29.1,29.8,999,99,99
2010,8,19,21,24,252,4.2,5.4,99,99,99,999,1011,29.2,29.8,999,99,99
2010,8,19,21,30,253,4.3,5.7,99,99,99,999,1011,29,29.8,999,99,99
2010,8,19,21,36,258,4.4,5.4,99,99,99,999,1011,29,29.8,999,99,99
2010,8,19,21,42,259,4.1,5.1,99,99,99,999,1011,28.7,29.8,999,99,99
2010,8,19,21,48,259,3.9,5.3,99,99,99,999,1011,28.8,29.8,999,99,99
2010,8,19,21,54,255,3.7,4.8,99,99,99,999,1010.9,28.8,29.8,999,99,99
2010,8,19,22,0,245,3,4.9,99,99,99,999,1010.9,28.8,29.8,999,99,99
2010,8,19,22,6,235,3.4,4.7,99,99,99,999,1010.8,28.7,29.9,999,99,99
2010,8,19,22,12,231,2.3,4.3,99,99,99,999,1010.8,28.6,29.9,999,99,99
2010,8,19,22,18,232,2.7,4.1,99,99,99,999,1010.8,28.7,29.9,999,99,99
2010,8,19,22,24,229,2.9,3.8,99,99,99,999,1010.7,28.6,29.9,999,99,99
2010,8,19,22,30,224,2.6,4.3,99,99,99,999,1010.7,28.5,29.9,999,99,99
2010,8,19,22,36,227,3.9,5.1,99,99,99,999,1010.6,28.5,30,999,99,99
2010,8,19,22,42,232,3.4,4.6,99,99,99,999,1010.6,28.3,30,999,99,99
2010,8,19,22,48,217,3.5,5.1,99,99,99,999,1010.7,28.2,29.9,999,99,99
2010,8,19,22,54,225,3.4,4.6,99,99,99,999,1010.7,28.2,29.8,999,99,99
2010,8,19,23,0,224,3.6,4.8,99,99,99,999,1010.8,28,29.6,999,99,99
2010,8,19,23,6,223,3.7,5,99,99,99,999,1010.7,28,29.5,999,99,99
2010,8,19,23,12,220,3.9,5.5,99,99,99,999,1010.7,27.9,29.5,999,99,99
2010,8,19,23,18,212,3.6,5.1,99,99,99,999,1010.7,27.8,29.4,999,99,99
2010,8,19,23,24,219,3.2,5.1,99,99,99,999,1010.7,27.8,29.3,999,99,99
2010,8,19,23,30,225,3.9,5,99,99,99,999,1010.7,27.8,29.3,999,99,99
2010,8,19,23,36,224,3.4,4.7,99,99,99,999,1010.7,27.7,29.2,999,99,99
2010,8,19,23,42,227,3.5,4.8,99,99,99,999,1010.7,27.6,29.2,999,99,99
2010,8,19,23,48,232,3.5,5.3,99,99,99,999,1010.9,27.6,29.2,999,99,99
2010,8,19,23,54,231,3.4,4.4,99,99,99,999,1010.9,27.5,29.1,999,99,99
2010,8,20,0,0,228,2.3,4,99,99,99,999,1011,27.5,29,999,99,99
2010,8,20,0,6,221,3.1,4.2,99,99,99,999,1011,27.5,29,999,99,99
2010,8,20,0,12,214,3.1,4.6,99,99,99,999,1010.8,27.6,29.1,999,99,99
2010,8,20,0,18,216,3,4.3,99,99,99,999,1010.7,27.6,28.9,999,99,99
2010,8,20,0,24,230,2.6,3.9,99,99,99,999,1010.8,27.6,28.9,999,99,99
2010,8,20,0,30,231,2.7,4,99,99,99,999,1011,27.6,28.9,999,99,99
2010,8,20,0,36,230,2.9,4.2,99,99,99,999,1011,27.5,28.9,999,99,99
2010,8,20,0,42,228,3.3,4.5,99,99,99,999,1010.9,27.5,29,999,99,99
2010,8,20,0,48,228,4.2,5.1,99,99,99,999,1010.9,27.5,28.8,999,99,99
2010,8,20,0,54,217,3.3,4.7,99,99,99,999,1011,27.6,28.8,999,99,99
2010,8,20,1,0,225,2.7,5.4,99,99,99,999,1011,27.7,28.8,999,99,99
2010,8,20,1,6,221,2.5,3.9,99,99,99,999,1011.2,27.8,28.7,999,99,99
2010,8,20,1,12,224,3.9,5,99,99,99,999,1011.3,27.7,28.7,999,99,99
