"","Year","Month","Day","Date","dailywtmp","Station"
"1",2011,1,1,2011-01-01,5.57196652719665,"Beaufort"
"2",2011,1,2,2011-01-02,6.90625,"Beaufort"
"3",2011,1,3,2011-01-03,8.16291666666667,"Beaufort"
"4",2011,1,4,2011-01-04,7.85458333333333,"Beaufort"
"5",2011,1,5,2011-01-05,7.78333333333333,"Beaufort"
"6",2011,1,6,2011-01-06,7.78458333333333,"Beaufort"
"7",2011,1,7,2011-01-07,7.7397489539749,"Beaufort"
"8",2011,1,8,2011-01-08,7.71291666666667,"Beaufort"
"9",2011,1,9,2011-01-09,6.765,"Beaufort"
"10",2011,1,10,2011-01-10,5.58375,"Beaufort"
"11",2011,1,11,2011-01-11,4.67833333333333,"Beaufort"
"12",2011,1,12,2011-01-12,4.32577639751553,"Beaufort"
"13",2011,1,13,2011-01-13,4.35375,"Beaufort"
"14",2011,1,14,2011-01-14,4.31333333333333,"Beaufort"
"15",2011,1,15,2011-01-15,4.59916666666667,"Beaufort"
"16",2011,1,16,2011-01-16,5.12156862745098,"Beaufort"
"17",2011,1,17,2011-01-17,5.94336283185841,"Beaufort"
"18",2011,1,18,2011-01-18,6.63974358974359,"Beaufort"
"19",2011,1,19,2011-01-19,7.29041666666667,"Beaufort"
"20",2011,1,20,2011-01-20,7.75188284518828,"Beaufort"
"21",2011,1,21,2011-01-21,8.35708333333333,"Beaufort"
"22",2011,1,22,2011-01-22,7.58791666666667,"Beaufort"
"23",2011,1,23,2011-01-23,5.03083333333333,"Beaufort"
"24",2011,1,24,2011-01-24,5.09083333333333,"Beaufort"
"25",2011,1,25,2011-01-25,5.12375,"Beaufort"
"26",2011,1,26,2011-01-26,6.38916666666667,"Beaufort"
"27",2011,1,27,2011-01-27,7.03375,"Beaufort"
"28",2011,1,28,2011-01-28,7.02352941176471,"Beaufort"
"29",2011,1,29,2011-01-29,7.25875,"Beaufort"
"30",2011,1,30,2011-01-30,7.57,"Beaufort"
"31",2011,1,31,2011-01-31,8.09291666666667,"Beaufort"
"32",2011,2,1,2011-02-01,8.21213389121339,"Beaufort"
"33",2011,2,2,2011-02-02,9.03839662447257,"Beaufort"
"34",2011,2,3,2011-02-03,9.97208333333333,"Beaufort"
"35",2011,2,4,2011-02-04,8.98410041841004,"Beaufort"
"36",2011,2,5,2011-02-05,8.45791666666667,"Beaufort"
"37",2011,2,6,2011-02-06,9.40208333333333,"Beaufort"
"38",2011,2,7,2011-02-07,9.80791666666667,"Beaufort"
