"","Year","Month","Day","dailywtmp"
"1",2011,1,1,5.52050209205021
"2",2011,1,2,6.82166666666667
"3",2011,1,3,7.31791666666667
"4",2011,1,4,6.255
"5",2011,1,5,6.42041666666667
"6",2011,1,6,6.66375
"7",2011,1,7,6.6836820083682
"8",2011,1,8,6.97416666666667
"9",2011,1,9,4.98041666666667
"10",2011,1,10,2.90083333333333
"11",2011,1,11,3.70375
"12",2011,1,12,4.02458333333333
"13",2011,1,13,2.54333333333333
"14",2011,1,14,2.59958333333333
"15",2011,1,15,4.85791666666667
"16",2011,1,16,6.4
"17",2011,1,17,6.4
"18",2011,1,18,6.98068669527897
"19",2011,1,19,8.7825
"20",2011,1,20,8.11375
"21",2011,1,21,8.39958333333333
"22",2011,1,22,6.71125
"23",2011,1,23,2.39333333333333
"24",2011,1,24,3.28416666666667
"25",2011,1,25,3.86791666666667
"26",2011,1,26,5.28166666666667
"27",2011,1,27,6.1475
"28",2011,1,28,6.28361344537815
"29",2011,1,29,6.74625
"30",2011,1,30,7.38208333333333
"31",2011,1,31,8.06708333333333
"32",2011,2,1,8.20291666666667
"33",2011,2,2,8.20333333333333
"34",2011,2,3,8.76
"35",2011,2,4,7.54625
"36",2011,2,5,7.17916666666667
"37",2011,2,6,8.80333333333333
"38",2011,2,7,9.405
"39",2011,2,8,9.23708333333333
"40",2011,2,9,8.69451476793249
"41",2011,2,10,7.33958333333333
"42",2011,2,11,5.45541666666667
"43",2011,2,12,5.22208333333333
"44",2011,2,13,6.86458333333333
"45",2011,2,14,8.95041666666667
"46",2011,2,15,10.1451063829787
"47",2011,2,16,9.82916666666667
"48",2011,2,17,11.1182978723404
"49",2011,2,18,12.2316666666667
"50",2011,2,19,13
"51",2011,2,20,13
"52",2011,2,21,13
"53",2011,2,22,13
"54",2011,2,23,13
"55",2011,2,24,13
"56",2011,2,25,13
"57",2011,2,26,13
"58",2011,2,27,13
"59",2011,2,28,13
"60",2011,3,1,13
"61",2011,3,2,13
"62",2011,3,3,13
"63",2011,3,4,13
"64",2011,3,5,13
"65",2011,3,6,13
"66",2011,3,7,13
"67",2011,3,8,13
"68",2011,3,9,13
"69",2011,3,10,13
"70",2011,3,11,13
"71",2011,3,12,13
"72",2011,3,13,13
"73",2011,3,14,13
"74",2011,3,15,13
"75",2011,3,16,13
"76",2011,3,17,13
"77",2011,3,18,13
"78",2011,3,19,13
"79",2011,3,20,13
"80",2011,3,21,13
"81",2011,3,22,13
"82",2011,3,23,13
"83",2011,3,24,13
"84",2011,3,25,13
"85",2011,3,26,13
"86",2011,3,27,13
"87",2011,3,28,13
"88",2011,3,29,13
"89",2011,3,30,13
"90",2011,3,31,13
"91",2011,4,1,13
"92",2011,4,2,13
"93",2011,4,3,13
"94",2011,4,4,13
"95",2011,4,5,13
"96",2011,4,6,13
"97",2011,4,7,13
"98",2011,4,8,13
"99",2011,4,9,13
"100",2011,4,10,13
"101",2011,4,11,13
"102",2011,4,12,13
"103",2011,4,13,13
"104",2011,4,14,15.5404166666667
"105",2011,4,15,18.6925
"106",2011,4,16,18.9283333333333
"107",2011,4,17,18.6829166666667
"108",2011,4,18,18.6583333333333
"109",2011,4,19,19.68125
"110",2011,4,20,20.0316666666667
"111",2011,4,21,20.4194805194805
"112",2011,4,22,18.6266666666667
"113",2011,4,23,18.94
"114",2011,4,24,20.7916666666667
"115",2011,4,25,22.1370833333333
"116",2011,4,26,22.42125
"117",2011,4,27,21.57375
"118",2011,4,28,22.0854166666667
"119",2011,4,29,21.6691666666667
"120",2011,4,30,22.1816666666667
"121",2011,5,1,21.0600840336134
"122",2011,5,2,21.1020833333333
"123",2011,5,3,21.9620833333333
"124",2011,5,4,22.3541666666667
"125",2011,5,5,19.3358333333333
"126",2011,5,6,19.06625
"127",2011,5,7,19.6875
"128",2011,5,8,20.3841666666667
"129",2011,5,9,19.9304166666667
"130",2011,5,10,20.9666666666667
"131",2011,5,11,20.0275
"132",2011,5,12,19.4408333333333
"133",2011,5,13,19.735
"134",2011,5,14,19.6733333333333
"135",2011,5,15,20.7916666666667
"136",2011,5,16,20.3745833333333
"137",2011,5,17,20.1933054393305
"138",2011,5,18,21.1508333333333
"139",2011,5,19,21.73125
"140",2011,5,20,22.4445833333333
"141",2011,5,21,23.6583333333333
